experiment_id	score	delta	status	notes	judge_a_model	judge_b_model	rubric_hash	eval_dataset_ref
baseline	0.231183	0.000000	baseline	generic shared prompts seeded to openai/; ROUGE-L=23.1%, embed=73.7%; judges contested → ROUGE-only blend	gpt-4o-mini	claude-haiku-4-5	-	curated_5feeds_smoke_v1
exp-1	0.461547	+0.230364	accepted	cover ALL major discussion segments in order; ROUGE-L=25.8%, embed=73.7%, judge_mean=0.936; judges agreed → full blend	gpt-4o-mini	claude-haiku-4-5	9f43a4b9	curated_5feeds_smoke_v1
exp-2	0.466996	+0.005449	accepted	preserve verbatim terminology/concept names; ROUGE-L=26.3%, embed=75.3%, judge_mean=0.943; judges agreed → full blend	gpt-4o-mini	claude-haiku-4-5	9f43a4b9	curated_5feeds_smoke_v1
exp-3	0.256322	-0.210674	rejected	chronological arc + longer paragraphs → more tokens, judges contested; ROUGE-L=25.6%, embed=71.0%, judge_mean=0.893; ROUGE-only blend	gpt-4o-mini	claude-haiku-4-5	9f43a4b9	curated_5feeds_smoke_v1
exp-4	0.474687	+0.007691	accepted	concise summary instruction (2-3 para cap, no-filler rule) → tighter output, judges agreed; ROUGE-L=27.3%, embed=76.7%, judge_mean=0.946	gpt-4o-mini	claude-haiku-4-5	9f43a4b9	curated_5feeds_smoke_v1
exp-r2-1	0.458081	-0.016606	rejected	fix exactly 2 paragraphs; ROUGE-L=25.3%, embed=77.2%, judge_mean=0.936; judges agreed but ROUGE-L dropped	gpt-4o-mini	claude-haiku-4-5-20251001	9f43a4b9	curated_5feeds_smoke_v1
exp-r2-2	0.254719	-0.219968	rejected	fix exactly 3 paragraphs; ROUGE-L=25.5%, embed=75.3%, judge_mean=0.893; judges contested → ROUGE-only blend	gpt-4o-mini	claude-haiku-4-5-20251001	9f43a4b9	curated_5feeds_smoke_v1
exp-r2-3	0.282039	-0.192648	rejected	reduce bullet count to 5-6; ROUGE-L=28.2%, embed=72.5%, judge_mean=0.933; judges contested → ROUGE-only blend; 3 consecutive fails → early stop	gpt-4o-mini	claude-haiku-4-5-20251001	9f43a4b9	curated_5feeds_smoke_v1
exp-r3-1	0.484212	+0.009525	accepted	few-shot style examples in system prompt; ROUGE-L=28.6%, embed=n/a, judge_mean=0.946; judges agreed; +2.0%	gpt-4o-mini	claude-haiku-4-5-20251001	9f43a4b9	curated_5feeds_smoke_v1
exp-r3-2	0.472618	-0.011594	rejected	anchor lead + ban generic openers; ROUGE-L=26.97%, judge_mean=0.946; judges agreed but ROUGE-L dropped -2.4%	gpt-4o-mini	claude-haiku-4-5-20251001	9f43a4b9	curated_5feeds_smoke_v1
exp-r3-3	0.504330	+0.020118	accepted	style narration: noun-anchored, em-dash precision, X-rather-than-Y contrasts; ROUGE-L=31.2%, judge_mean=0.953; judges agreed; +4.2%	gpt-4o-mini	claude-haiku-4-5-20251001	9f43a4b9	curated_5feeds_smoke_v1
exp-r3-4	0.501324	-0.003006	rejected	model upgrade gpt-4o-mini→gpt-4o; ROUGE-L=30.2%, judge_mean=0.966 (↑); judges agreed; ROUGE-L dropped despite better judge; -0.6%	gpt-4o	claude-haiku-4-5-20251001	9f43a4b9	curated_5feeds_smoke_v1
exp-r3-5	0.483498	-0.020832	rejected	separate Task 1/2/3 framing in user prompt; ROUGE-L=28.2%, judge_mean=0.953; judges agreed; restructured rules hurt ROUGE-L -4.1%	gpt-4o-mini	claude-haiku-4-5-20251001	9f43a4b9	curated_5feeds_smoke_v1
exp-r4-1	0.260676	-0.243654	rejected	paragraph count 4-6; ratchet -48%, judges contested; paragraph ROUGE-L=23.6% (+3.7pp) but ratchet well outside -1% threshold	gpt-4o-mini	claude-haiku-4-5-20251001	9f43a4b9	curated_5feeds_smoke_v1
exp-r4-2	0.268492	-0.235838	rejected	structure narration (topic anchors, thesis-first); ratchet -47%, judges contested; paragraph ROUGE-L=21.7% (+1.8pp) below +2pp threshold	gpt-4o-mini	claude-haiku-4-5-20251001	9f43a4b9	curated_5feeds_smoke_v1
exp-r4-3	0.264148	-0.240182	rejected	few-shot summary example in system prompt; ratchet -47%, judges contested; paragraph ROUGE-L=21.6% (+1.7pp); 3 consecutive fails → early stop	gpt-4o-mini	claude-haiku-4-5-20251001	9f43a4b9	curated_5feeds_smoke_v1
exp-r5-1	0.272874	-0.231456	rejected	gpt-4o + paragraph count 4-6; judges contested (0.883); paragraph ROUGE-L=27.2% (+7.3pp, beats non-bundled 26.6%) but ratchet -46% — judge rubric rejects longer summaries regardless of model	gpt-4o	claude-haiku-4-5-20251001	9f43a4b9	curated_5feeds_smoke_v1
exp-r5-2	0.481580	-0.022750	rejected	gpt-4o + structure narration (topic anchors) at 2-3 paragraphs; judges agreed (0.953); paragraph ROUGE-L=22.3% (+2.4pp); ratchet -4.5% — gpt-4o ROUGE-L lower than mini champion	gpt-4o	claude-haiku-4-5-20251001	9f43a4b9	curated_5feeds_smoke_v1
exp-r5-3	0.267344	-0.236986	rejected	gpt-4o + paragraph count 3-4 (middle ground); judges contested (0.886); even 3-4 paragraphs triggers contestation; 3 consecutive fails → early stop	gpt-4o	claude-haiku-4-5-20251001	9f43a4b9	curated_5feeds_smoke_v1
exp-r6-1	0.473653	-0.030677	rejected	gpt-4o + 4-6 para, fixed judging; 0/5 contested; para ROUGE-L=26.5% (+6.6pp, matches non-bundled); ratchet -6.1% due to structural ROUGE-L drop from longer summary vs bullets-only silver	gpt-4o	claude-haiku-4-5-20251001	new-rubric	curated_5feeds_smoke_v1
exp-r6-2	0.455336	-0.048994	rejected	gpt-4o-mini + 4-6 para, fixed judging; 0/5 contested; para ROUGE-L=22.5% (+2.6pp); ratchet -9.7%; mini worse than gpt-4o at higher para count	gpt-4o-mini	claude-haiku-4-5-20251001	new-rubric	curated_5feeds_smoke_v1
exp-r6-3	0.450122	-0.054208	rejected	gpt-4o + 4-6 para + distinct-topic structure; 0/5 contested; para ROUGE-L=25.4% (+5.5pp); ratchet -10.8%; 3 consecutive fails → early stop. Root cause: ratchet penalises para text vs bullets-only silver regardless of para quality	gpt-4o	claude-haiku-4-5-20251001	new-rubric	curated_5feeds_smoke_v1
design-change	—	—	meta	Ratchet redesign: scoring_output_field=bullets; model gpt-4o; 4-6 para champion (r6-1); bundled silver silver_gpt4o_smoke_bundled_v1 created; comparison configs dropped	—	—	new-rubric	curated_5feeds_smoke_v1
baseline-r7	0.513219	—	baseline	R7 baseline: gpt-4o + 4-6 para + bullets-only ratchet; ROUGE-L=33.6% (bullets vs silver_sonnet46_smoke_bullets_v1); 0/5 contested; judge_mean=0.927	gpt-4o	claude-haiku-4-5-20251001	new-rubric	curated_5feeds_smoke_v1
